customer_id,segment,ring_id,is_reseller,is_loyal_bulk
CUST-4deb40fa68,normal,,0,0
CUST-099c57d981,normal,,0,0
CUST-05c3934589,normal,,0,0
CUST-12df178f29,normal,,0,0
CUST-c560817e0a,normal,,0,0
CUST-25ff78cddb,normal,,0,0
CUST-38402b789a,normal,,0,0
CUST-deb859a5db,normal,,0,0
CUST-2cb42d0d97,normal,,0,0
CUST-bf182c21bb,normal,,0,0
CUST-ad149cbc3f,normal,,0,0
CUST-6aeda7d611,normal,,0,0
CUST-26c9fb7647,normal,,0,0
CUST-42ba0a1f49,normal,,0,0
CUST-e65145f732,normal,,0,0
CUST-ae6850d57f,normal,,0,0
CUST-1dc6481dd0,normal,,0,0
CUST-a33bd458b0,normal,,0,0
CUST-2fddb037ac,normal,,0,0
CUST-0a3d8fd790,normal,,0,0
CUST-a2fd95a002,normal,,0,0
CUST-6e2da0ce7c,normal,,0,0
CUST-23a0e0ec1a,normal,,0,0
CUST-9ff5dd88da,normal,,0,0
CUST-fb71b6dca6,normal,,0,0
CUST-16ee9f6a3a,normal,,0,0
CUST-053cc7432c,normal,,0,0
CUST-e83c6b31c2,normal,,0,0
CUST-5ad7683ca3,normal,,0,0
CUST-996cf112aa,normal,,0,0
CUST-d7183f9ee9,normal,,0,0
CUST-1986d49cef,normal,,0,0
CUST-25f4e83a50,normal,,0,0
CUST-739eb5c54b,normal,,0,0
CUST-fee44b0be2,normal,,0,0
CUST-42d54c35c9,normal,,0,0
CUST-505c274a05,normal,,0,0
CUST-1707b43288,normal,,0,0
CUST-14df152fb5,normal,,0,0
CUST-eb9b1810c5,normal,,0,0
CUST-e9c39fbf13,normal,,0,0
CUST-2a0a66fd10,normal,,0,0
CUST-56fea7fd4c,normal,,0,0
CUST-2f89b2f6ac,normal,,0,0
CUST-7ecac6daad,normal,,0,0
CUST-d5802921c0,normal,,0,0
CUST-b2bad4501a,normal,,0,0
CUST-15722455a6,normal,,0,0
CUST-9c37a45544,normal,,0,0
CUST-6f304d037a,normal,,0,0
CUST-fc6bd4d5e9,normal,,0,0
CUST-3c61ddeda1,normal,,0,0
CUST-7c7c3a844a,normal,,0,0
CUST-8203fa58d0,normal,,0,0
CUST-31facaa98e,normal,,0,0
CUST-be48942b9b,normal,,0,0
CUST-f248b2540e,normal,,0,0
CUST-f22aa223b3,normal,,0,0
CUST-ccfe7192b6,normal,,0,0
CUST-78f7a59434,normal,,0,0
CUST-d0d91ba1f7,normal,,0,0
CUST-36b95307a8,normal,,0,0
CUST-6dc5f74b97,normal,,0,0
CUST-297effe310,normal,,0,0
CUST-530ddf10c7,normal,,0,0
CUST-84fb9ec6c4,normal,,0,0
CUST-1348a10108,normal,,0,0
CUST-fe5c8d73db,normal,,0,0
CUST-2a6f75c253,normal,,0,0
CUST-67ae40ae64,normal,,0,0
CUST-fd58b1feed,normal,,0,0
CUST-5f8c134964,normal,,0,0
CUST-88d781c505,normal,,0,0
CUST-dc5b7e8920,normal,,0,0
CUST-cb484134ab,normal,,0,0
CUST-3ef85921c4,normal,,0,0
CUST-eccda7b220,normal,,0,0
CUST-e0f9a0e7f0,normal,,0,0
CUST-1931b2d9c0,normal,,0,0
CUST-5e41d66a04,normal,,0,0
CUST-9cc10f4acf,normal,,0,0
CUST-e226bd0e71,normal,,0,0
CUST-b358591abc,normal,,0,0
CUST-c2f6aa97c8,normal,,0,0
CUST-95dbc3265d,normal,,0,0
CUST-940b5e25e5,normal,,0,0
CUST-1d2b796e08,normal,,0,0
CUST-7fdbaa0146,normal,,0,0
CUST-d24a254b19,normal,,0,0
CUST-464f517996,normal,,0,0
CUST-647be2b172,normal,,0,0
CUST-acb5511333,normal,,0,0
CUST-58ef7d4e3b,normal,,0,0
CUST-7a9c3db49b,normal,,0,0
