customer_id,total_quantity,n_orders,avg_qty_per_order,max_qty_single_order,n_distinct_skus,sku_concentration,pct_orders_discount_window,avg_discount_pct_when_used,purchase_span_days,order_frequency_per_week,total_spend,n_distinct_ips,account_age_at_first_order_days,shared_device_count,shared_payment_count,shared_address_count,shared_ip_count,identity_cluster_size,segment,is_reseller,is_loyal_bulk
CUST-7acf46ae20,2,1,2.0,2,1,1.0,0.0,0.0,0.0,7.0,170.0,1,16.332042550474537,0,0,0,0,1,normal,0,0
CUST-d5e75dd614,1,1,1.0,1,1,1.0,0.0,0.0,0.0,7.0,90.0,1,304.4373639541204,0,0,3,0,4,shared_address_legit,0,1
CUST-bc1a7c4bb0,12,2,6.0,8,1,1.0,0.0,0.0,32.09046740664352,0.4362666277993088,1080.0,1,374.4005048204167,0,0,0,0,1,loyal_bulk,0,1
CUST-4d39ff2ba0,3,2,1.5,2,2,0.5555555555555556,0.0,0.0,81.8248881880324,0.1710970868402313,200.0,1,346.8728646994676,0,0,0,0,1,normal,0,0
CUST-785603eb63,14,3,4.666666666666667,5,2,0.5918367346938775,0.0,0.0,128.99652561866898,0.1627950822650744,1240.0,1,395.932768284537,0,0,0,0,1,loyal_bulk,0,1
CUST-648376aa08,3,2,1.5,2,2,0.5555555555555556,0.0,0.0,135.35447911917825,0.1034321146304522,110.0,1,391.0952912202546,0,0,0,0,1,normal,0,0
CUST-7ead30482b,2,1,2.0,2,1,1.0,0.0,0.0,0.0,7.0,180.0,1,229.2586431940162,0,0,0,0,1,normal,0,0
CUST-1cb07fb6e7,5,4,1.25,2,3,0.3600000000000001,0.0,0.0,102.32777570672454,0.2736304957927465,360.0,1,262.527584744919,0,0,0,0,1,normal,0,0
CUST-385a71b3d6,4,4,1.0,1,4,0.25,0.0,0.0,98.72513294384258,0.2836157234240153,275.0,1,122.79735034068288,0,0,0,0,1,normal,0,0
CUST-e8592ae18e,1,1,1.0,1,1,1.0,0.0,0.0,0.0,7.0,30.0,1,366.3481130618519,0,0,0,0,1,normal,0,0
CUST-29154c1b04,1,1,1.0,1,1,1.0,0.0,0.0,0.0,7.0,60.0,1,198.36362383261573,0,0,2,0,3,shared_address_legit,0,1
CUST-0b4f39709b,2,2,1.0,1,2,0.5,0.0,0.0,41.97267963765047,0.3335503027412544,130.0,1,48.65057782804399,0,0,0,0,1,normal,0,0
CUST-0f0404ce92,2,2,1.0,1,2,0.5,0.0,0.0,15.227119294027778,0.9194122492683784,160.0,1,4.795576868587963,0,0,0,0,1,normal,0,0
CUST-151a2047c6,27,2,13.5,15,1,1.0,1.0,0.4,149.990930816875,0.0933389767218172,1458.0,1,656.2858069183912,0,0,0,0,1,solo_reseller,1,0
CUST-0bb904a971,2,2,1.0,1,2,0.5,0.0,0.0,68.08666259600695,0.2056203001617096,185.0,1,412.6813686751041,0,0,1,0,2,shared_address_legit,0,1
CUST-76e057e789,1,1,1.0,1,1,1.0,0.0,0.0,0.0,7.0,25.0,1,211.7234214929861,0,0,0,0,1,normal,0,0
CUST-34ce43cd53,3,2,1.5,2,2,0.5555555555555556,0.0,0.0,12.988984209652775,1.077836401525216,140.0,1,59.404698269050925,0,0,0,0,1,normal,0,0
